id,JP,JP_reading,EN,part_of_speech,EN_sentence,JP_sentence,JP_media,JP_sentence_media,JP_pitch_accent
1818,ざあざあ,ざあざあ,pouring,adverb,It's pouring.,雨[あめ]が<b>ざあざあ</b> 降[ふ]っている。,1818V.opus,1818S.opus,1
1819,再来月,さらいげつ,the month after next,noun,We're fully booked until the month after the next.,<b> 再来月[さらいげつ]</b>まで 予約[よやく]でいっぱいです。,1819V.opus,1819S.opus,2
1820,泊める,とめる,let (someone) stay over,verb,I let my friend stay over at my house.,友達[ともだち]をうちに<b> 泊[と]めて</b>あげました。,1820V.opus,1820S.opus,0
1821,叱る,しかる,"scold, reprimand",verb,The father is scolding his child.,父親[ちちおや]が 子供[こども]を<b> 叱[しか]って</b>いる。,1821V.opus,1821S.opus,0
1822,騒ぐ,さわぐ,"make a noise, make a racket",verb,Please don't make a racket in the train.,電車[でんしゃ]の 中[なか]で<b> 騒[さわ]がないで</b>ください。,1822V.opus,1822S.opus,2
1823,車道,しゃどう,"road, roadway",noun,The road construction has started.,<b> 車道[しゃどう]</b>の 工事[こうじ]が 始[はじ]まりました。,1823V.opus,1823S.opus,0
1824,掃除機,そうじき,vacuum cleaner,noun,The vacuum cleaner broke.,<b> 掃除[そうじ] 機[き]</b>が 壊[こわ]れた。,1824V.opus,1824S.opus,3
1825,剃る,そる,shave,verb,My father shaves every day.,父[ちち]は 毎日[まいにち] 髭[ひげ]を<b> 剃[そ]ります</b>。,1825V.opus,1825S.opus,1
1826,貼る,はる,"stick, paste, put",verb,I put a sticker on the desk.,机[つくえ]にシールを<b> 貼[は]った</b>。,1826V.opus,1826S.opus,0
1827,台,だい,"stand, table",noun,We have a perfect table there.,そこにちょうど 良[い]い<b> 台[だい]</b>がある。,1827V.opus,1827S.opus,1
1828,主に,おもに,"mostly, predominantly",adverb,This product is predominantly popular among women.,この 商品[しょうひん]は<b> 主[おも]に</b> 女性[じょせい]に 人気[にんき]がありまして。,1828V.opus,1828S.opus,1
1829,倒す,たおす,"knock down, overthrow",verb,The skier knocked the pole down.,そのスキーヤーはポールを<b> 倒[たお]した</b>。,1829V.opus,1829S.opus,2
1830,星,ほし,"star, planet",noun,You can see the stars clearly tonight.,今夜[こんや]は<b> 星[ほし]</b>がよく 見[み]えます。,1830V.opus,1830S.opus,0
1831,長女,ちょうじょ,eldest daughter,noun,Our oldest daughter is ten.,うちの<b> 長女[ちょうじょ]</b>は１０ 歳[さい]です。,1831V.opus,1831S.opus,1
1832,爪,つめ,"nail, claw",noun,My nails have grown.,<b> 爪[つめ]</b>が 伸[の]びています。,1832V.opus,1832S.opus,0
1833,缶,かん,"can, tin",noun,The coffee is in that can.,コーヒーはその<b> 缶[かん]</b>に 入[はい]っています。,1833V.opus,1833S.opus,1
1834,とんとん,とんとん,"tapping, patting",adverb,I gave my mother a massage by patting on her shoulders.,母[はは]の 肩[かた]を<b>とんとん</b>たたいた。,1834V.opus,1834S.opus,-1
1835,袖,そで,sleeve,noun,This shirt has short sleeves.,このシャツは<b> 袖[そで]</b>が 短[みじか]い。,1835V.opus,1835S.opus,0
1836,濡れる,ぬれる,get wet,verb,I got wet in the rain.,雨[あめ]で<b> 濡[ぬ]れて</b>しまった。,1836V.opus,1836S.opus,0
1837,パーセント,ぱーせんと,percent,noun,80 percent of the people in this village are elderly.,この 村[むら]の８０<b>パーセント</b>は 老人[ろうじん]です。,1837V.opus,1837S.opus,3
1838,上がる,あがる,"go up, increase (in quality or quantity)",verb,My salary goes up every year.,毎年[まいねん] 給料[きゅうりょう]が<b> 上[あ]がる</b>。,1838V.opus,1838S.opus,0
1839,拍手,はくしゅ,"applause, clapping",verbal noun,There was a big round of applause.,大[おお]きな<b> 拍手[はくしゅ]</b>が 上[あ]がった。,1839V.opus,1839S.opus,1
1840,弾く,ひく,play (instruments),verb,He plays the guitar.,彼[かれ]はギターを<b> 弾[ひ]きます</b>。,1840V.opus,1840S.opus,0
1841,ひも,ひも,"laces, string",noun,The shoelace is broken.,靴[くつ]の<b>ひも</b>が 切[き]れた。,1841V.opus,1841S.opus,0
1842,昼過ぎ,ひるすぎ,"Early afternoon (just past noon, e.g., 12:30–2 PM)",noun,Today I slept until after midday.,今日[きょう]は<b> 昼過[ひるす]ぎ</b>まで 寝[ね]ていた。,1842V.opus,1842S.opus,0
1843,船,ふね,"ship, vessel",noun,We got on the ship.,私[わたし]たちは<b> 船[ふね]</b>に 乗[の]った。,1843V.opus,1843S.opus,1
1844,まく,まく,"scatter, sprinkle",verb,"In Japan, there's a bean throwing festival in February.",日本[にほん]では、 二月[にがつ]に 豆[まめ]を<b>まく</b> 行事[ぎょうじ]がある。,1844V.opus,1844S.opus,2
1845,姪,めい,niece,noun,My niece is three years old.,私[わたし]の<b> 姪[めい]</b>は３ 才[さい]です。,1845V.opus,1845S.opus,1
1846,個人,こじん,"individual.&nbsp;Emphasizes a single person, esp. in contrast to a group or organization. Often used in legal, formal, or societal contexts.",noun,This is my personal opinion.,これは 私[わたし]<b> 個人[こじん]</b>の 意見[いけん]です。,1846V.opus,1846S.opus,1
1847,歌手,かしゅ,singer,noun,That singer's terrible.,その<b> 歌手[かしゅ]</b>は 歌[うた]が 下手[へた]だ。,1847V.opus,1847S.opus,1
1848,社員,しゃいん,"staff member, employee",noun,He's an excellent employee.,彼[かれ]は 優秀[ゆうしゅう]な<b> 社員[しゃいん]</b>です。,1848V.opus,1848S.opus,1
1849,不動産屋,ふどうさんや,real estate agent,noun,My father's a real estate agent.,私[わたし]の 父[ちち]は<b> 不動産[ふどうさん] 屋[や]</b>です。,1849V.opus,1849S.opus,0
1850,最大,さいだい,"biggest, largest",noun,This is the world's largest ship.,これは 世界[せかい]<b> 最大[さいだい]</b>の 船[ふね]です。,1850V.opus,1850S.opus,0
1851,動き,うごき,"movement, motion",noun,"First, watch your opponent's moves.",まず 相手[あいて]の<b> 動[うご]き</b>を 見[み]ましょう。,1851V.opus,1851S.opus,3
1852,事件,じけん,"affair, incident",noun,The perpetrator of the incident has not been arrested yet.,その<b> 事件[じけん]</b>の 犯人[はんにん]はまだ 捕[つか]まっていない。,1852V.opus,1852S.opus,1
1853,過去,かこ,the past,noun,That's in the past now.,それは<b> 過去[かこ]</b>の 話[はなし]だ。,1853V.opus,1853S.opus,1
1854,協力,きょうりょく,"cooperation, collaboration",verbal noun,This project requires everyone's cooperation.,このプロジェクトにはみんなの<b> 協力[きょうりょく]</b>が 必要[ひつよう]です。,1854V.opus,1854S.opus,0
1855,時期,じき,"time, season; soon",noun,It's an important time for you now.,今[いま]はあなたにとって 大事[だいじ]な<b> 時期[じき]</b>です。,1855V.opus,1855S.opus,1
1856,経つ,たつ,"pass, elapse",verb,14 years have passed since then.,あれから１４ 年[ねん]が<b> 経[た]ちました</b>。,1856V.opus,1856S.opus,1
1857,雷,かみなり,"thunder, lightning",noun,Thunder is rumbling.,<b> 雷[かみなり]</b>が 鳴[な]っています。,1857V.opus,1857S.opus,3
1858,責任,せきにん,responsibility,noun,He took responsibility for the mistake and left the company.,彼[かれ]は 失敗[しっぱい]の<b> 責任[せきにん]</b>を 取[と]って、 会社[かいしゃ]を 辞[や]めた。,1858V.opus,1858S.opus,0
1859,願う,ねがう,to wish (verb: to hope or request),verb,I hope he gets well.,彼[かれ]が 元気[げんき]になるよう<b> 願[ねが]って</b>います。,1859V.opus,1859S.opus,2
1860,発見,はっけん,"discovery, revelation",verbal noun,A new star was discovered.,新[あたら]しい 星[ほし]が<b> 発見[はっけん]</b>された。,1860V.opus,1860S.opus,0
1861,気,き,"spirit, temperament",noun,I'm surprised to find that he is actually timid.,彼[かれ]は 意外[いがい]に<b> 気[き]</b>が 小[ちい]さい。,1861V.opus,1861S.opus,0
1862,美容院,びよういん,hair salon,noun,My father has his hair cut at a hair salon.,父[ちち]は<b> 美容[びよう] 院[いん]</b>で 髪[かみ]を 切[き]ります。,1862V.opus,1862S.opus,2
1863,状況,じょうきょう,"state of affairs, conditions",noun,It's difficult to depart under these conditions.,この<b> 状況[じょうきょう]</b>では 出発[しゅっぱつ]は 難[むずか]しいです。,1863V.opus,1863S.opus,0
1864,目的,もくてき,"objective, purpose",noun,I don't know the purpose of his visit.,彼[かれ]が 来[き]た<b> 目的[もくてき]</b>が 分[わ]かりません。,1864V.opus,1864S.opus,0
1865,企業,きぎょう,"corporation, business",noun,She works at an American company.,彼女[かのじょ]はアメリカの<b> 企業[きぎょう]</b>で 働[はたら]いています。,1865V.opus,1865S.opus,1
1866,釣り,つり,fishing,noun,My father loves fishing.,父[ちち]は<b> 釣[つ]り</b>が 大好[だいす]きです。,1866V.opus,1866S.opus,0
1867,漫画,まんが,"comics, cartoon",noun,My little sister likes comics.,妹[いもうと]は<b> 漫画[まんが]</b>が 好[す]きです。,1867V.opus,1867S.opus,0
1868,温泉,おんせん,hot spring,noun,I hear this hot spring is very effective.,ここの<b> 温泉[おんせん]</b>はよく 効[き]くそうです。,1868V.opus,1868S.opus,0
1869,トレーニング,とれーにんぐ,"training, workout",verbal noun,He works out every day.,彼[かれ]は 毎日[まいにち]<b>トレーニング</b>をするの。,1869V.opus,1869S.opus,2
1870,噂,うわさ,"gossip, rumor",verbal noun,Is the rumor true?,その<b> 噂[うわさ]</b>は 本当[ほんとう]ですか。,1870V.opus,1870S.opus,0
1871,本物,ほんもの,"real, genuine article, truly worthy (things, people)",noun,This is a real diamond.,これは<b> 本物[ほんもの]</b>のダイヤモンドです。,1871V.opus,1871S.opus,0
1872,アイデア,あいであ,idea (katakana),noun,He came up with a good idea.,彼[かれ]がいい<b>アイデア</b>を 出[だ]したね。,1872V.opus,1872S.opus,0
1873,地下,ちか,underground,noun,The studio is in the basement.,スタジオは<b> 地下[ちか]</b>にあります。,1873V.opus,1873S.opus,1
1874,マーケット,まーけっと,market,noun,He has explored into the Italian market.,彼[かれ]はイタリアの<b>マーケット</b>を 開拓[かいたく]しました。,1874V.opus,1874S.opus,0
1875,スケジュール,すけじゅーる,Schedule (katakana; used for personal planning like appointments),noun,I'll let you coordinate my schedule.,<b>スケジュール</b>の 調整[ちょうせい]は 君[きみ]に 任[まか]せるわ。,1875V.opus,1875S.opus,0
1876,出張,しゅっちょう,business trip,verbal noun,The manager is on a business trip to Kyoto.,部長[ぶちょう]は 京都[きょうと]に<b> 出張[しゅっちょう]</b> 中[ちゅう]です。,1876V.opus,1876S.opus,0
1877,コック,こっく,"cook, chef",noun,He is a good cook.,彼[かれ]は 腕[うで]のいい<b>コック</b>です。,1877V.opus,1877S.opus,1
1878,正午,しょうご,noon,noun,The lunch break is from noon.,昼休[ひるやす]みは<b> 正午[しょうご]</b>からです。,1878V.opus,1878S.opus,1
1879,ブラシ,ぶらし,brush,noun,I brushed the dog's hair with a brush.,犬[いぬ]の 毛[け]を<b>ブラシ</b>でとかしてやったの。,1879V.opus,1879S.opus,0
1880,書き取る,かきとる,"write down, note down",verb,I wrote down the main points of the speech.,話[はな]しのポイントを<b> 書[か]き 取[と]った</b>。,1880V.opus,1880S.opus,3
1881,歓迎,かんげい,"welcome (kanji). Formal context; used in writing, speeches",verbal noun,I received a warm welcome.,温[あたた]かい<b> 歓迎[かんげい]</b>を 受[う]けました。,1881V.opus,1881S.opus,0
1882,開発,かいはつ,development,verbal noun,The residents are against the dam development.,ダムの<b> 開発[かいはつ]</b>に 住民[じゅうみん]は 反対[はんたい]しています。,1882V.opus,1882S.opus,0
1883,郵便屋さん,ゆうびんやさん,mail carrier,noun,Has the mail carrier already come?,<b> 郵便[ゆうびん] 屋[や]さん</b>はもう 来[き]ましたか。,1883V.opus,1883S.opus,-1
1884,会長,かいちょう,"president, chairperson",noun,First was the president's greeting.,初[はじ]めに<b> 会長[かいちょう]</b>が 挨拶[あいさつ]した。,1884V.opus,1884S.opus,0
1885,金,きん,gold,noun,She's wearing a gold necklace.,彼女[かのじょ]は<b> 金[きん]</b>のネックレスをしています。,1885V.opus,1885S.opus,1
1886,灰,はい,ashes,noun,Everything turned into ashes in the fire.,火事[かじ]ですべて<b> 灰[はい]</b>になった。,1886V.opus,1886S.opus,0
1887,骨,ほね,bone,noun,He broke a bone in his foot.,彼[かれ]は 足[あし]の<b> 骨[ほね]</b>を 折[お]りました。,1887V.opus,1887S.opus,2
1888,風呂屋,ふろや,"bathhouse, public bath",noun,I went to a bathhouse with my friend yesterday.,昨日[きのう]、 友達[ともだち]とお<b> 風呂[ふろ] 屋[や]</b>さんに 行[い]った。,1888V.opus,1888S.opus,2
1889,細か,こまか,"minute, elaborate",adjectival noun,That's a small but complex issue.,それは<b> 細[こま]か</b>な 問題[もんだい]です。,1889V.opus,1889S.opus,2
1890,行き,ゆき,"going, bound for (traditional reading)",noun,I got on the Tokyo-bound train.,東京[とうきょう]<b> 行[ゆ]き</b>の 列車[れっしゃ]に 乗[の]った。,1890V.opus,1890S.opus,0
1891,人々,ひとびと,people,noun,People in that village are very kind.,あの 村[むら]の<b> 人々[ひとびと]</b>はとても 親切[しんせつ]です。,1891V.opus,1891S.opus,2
1892,寺,てら,"temple (without お; common, standalone word for Buddhist temple)",noun,There's an old temple there.,あそこに 古[ふる]いお<b> 寺[てら]</b>があります。,1892V.opus,1892S.opus,2
1893,鶏,にわとり,"rooster, hen",noun,The rooster crows every morning.,その<b> 鶏[にわとり]</b>は 毎朝[まいあさ] 鳴[な]きます。,1893V.opus,1893S.opus,0
1894,港,みなと,"port, harbor",noun,The ship arrived at the port.,<b> 港[みなと]</b>に 船[ふね]が 着[つ]きました。,1894V.opus,1894S.opus,0
1895,移る,うつる,"move, shift",verb,She moved to a new company.,彼女[かのじょ]は 新[あたら]しい 会社[かいしゃ]に<b> 移[うつ]った</b>。,1895V.opus,1895S.opus,2
1896,異なる,ことなる,differ,verb,He and I always have different opinions.,彼[かれ]と 私[わたし]はいつも 意見[いけん]が<b> 異[こと]なる</b>。,1896V.opus,1896S.opus,3
1897,提供,ていきょう,"offer, provide",verbal noun,He offered us a venue for the party.,彼[かれ]がパーティー 会場[かいじょう]を<b> 提供[ていきょう]</b>してくれました。,1897V.opus,1897S.opus,0
1898,市民,しみん,citizens,noun,Safety of citizens is important.,<b> 市民[しみん]</b>の 安全[あんぜん]は 大切[たいせつ]だ。,1898V.opus,1898S.opus,1
1899,患者,かんじゃ,patient,noun,The patient is sleeping.,<b> 患者[かんじゃ]</b>は 眠[ねむ]っています。,1899V.opus,1899S.opus,0
1900,元旦,がんたん,New Year's morning. Refers specifically to the morning of Jan 1st.,noun,I got a New Year's card from him on January 1.,<b> 元旦[がんたん]</b>に 彼[かれ]から 年賀状[ねんがじょう]がきた。,1900V.opus,1900S.opus,0
1901,柔らかい,やわらかい,soft (i-adjective). Regular i-adjective to describe something soft.,adjective,Soft sunlight feels pleasant.,<b> 柔[やわ]らかい</b> 日差[ひざ]しが 気持[きも]ちいいね。,1901V.opus,1901S.opus,4
1902,似合う,にあう,"suit, match well",verb,Kimono suits her well.,彼女[かのじょ]は 着物[きもの]がよく<b> 似合[にあ]います</b>。,1902V.opus,1902S.opus,2
1903,確かめる,たしかめる,"check, confirm",verb,My mother checked the change.,母[はは]はお 釣[つ]りを<b> 確[たし]かめた</b>の。,1903V.opus,1903S.opus,4
1904,背中,せなか,(one's) back,noun,My back itches.,<b> 背中[せなか]</b>がかゆい。,1904V.opus,1904S.opus,0
1905,肌,はだ,"Skin (surface appearance, softness — e.g. beautiful skin)",noun,Her skin is very white.,彼女[かのじょ]は<b> 肌[はだ]</b>がとても 白[しろ]いですね。,1905V.opus,1905S.opus,1
1906,順番,じゅんばん,"order, turn",noun,Please rearrange these in order.,これを<b> 順番[じゅんばん]</b> 通[どお]りに 並[なら]べ 替[か]えてください。,1906V.opus,1906S.opus,0
1907,まとも,まとも,"sane, reasonable",adjectival noun,His way of thinking is insane.,彼[かれ]の 考[かんが]え 方[かた]は<b>まとも</b>ではない。,1907V.opus,1907S.opus,0
1908,ぴったり,ぴったり,"exactly right, perfect",adjectival noun,These clothes suit you perfectly.,この 服[ふく]はあなたに<b>ぴったり</b>ですね。,1908V.opus,1908S.opus,3
1909,思わず,おもわず,"unintentionally, unconsciously",adverb,I was so happy that I burst into tears.,嬉[うれ]しくて<b> 思[おも]わず</b> 涙[なみだ]が 出[で]ました。,1909V.opus,1909S.opus,2
1910,より,より,"more, further&nbsp;(hiragana). Used in comparisons, meaning ""more than.""",adverb,I'll work much harder from now on.,これから、<b>より</b> 一層[いっそう] 努力[どりょく]します。,1910V.opus,1910S.opus,0
1911,もったいない,もったいない,"wasteful, a shame",adjective,It's wasteful to leave food.,食[た]べ 物[もの]を 残[のこ]しては<b>もったいない</b>わよ。,1911V.opus,1911S.opus,5
1912,情報,じょうほう,information; news; report,noun,The students collected all kinds of information on the Internet.,学生[がくせい]たちはインターネットでいろいろな<b> 情報[じょうほう]</b>を 集[あつ]めた。,1912V.opus,1912S.opus,0
1913,諦める,あきらめる,"abandon, give up",verb,He hasn't given up on his dream of studying abroad.,彼[かれ]は 留学[りゅうがく]の 夢[ゆめ]を<b> 諦[あきら]めて</b>いないよ。,1913V.opus,1913S.opus,4
1914,懐かしい,なつかしい,"fondly-remembered, long-forgotten",adjective,I have a fond memory of this place.,ここは 私[わたし]にとって<b> 懐[なつ]かしい</b> 場所[ばしょ]です。,1914V.opus,1914S.opus,4
1915,怪しい,あやしい,"suspicious, dubious",adjective,That man's behavior was suspicious.,その 男[おとこ]の 行動[こうどう]は<b> 怪[あや]しかった</b>わ。,1915V.opus,1915S.opus,0
1916,示す,しめす,"show, indicate",verb,He's showing interest in the new product.,彼[かれ]は 新[しん] 製品[せいひん]に 興味[きょうみ]を<b> 示[しめ]して</b>いる。,1916V.opus,1916S.opus,2
1917,たっぷり,たっぷり,"fully, amply",adverb,I got a full massage.,<b>たっぷり</b>とマッサージしてもらいました。,1917V.opus,1917S.opus,3
1918,早速,さっそく,"immediately, right away",adverb,I will send the documents immediately.,では<b> 早速[さっそく]</b> 書類[しょるい]をお 送[おく]りします。,1918V.opus,1918S.opus,0
1919,偶然,ぐうぜん,"by chance, coincidence",adjectival noun,I ran into a friend of mine in the town.,街[まち]で<b> 偶然[ぐうぜん]</b> 友人[ゆうじん]に 会[あ]いました。,1919V.opus,1919S.opus,0
1920,続き,つづき,"continuation, sequel",noun,Let's continue this conversation on the phone.,話[はなし]の<b> 続[つづ]き</b>は 電話[でんわ]でしましょう。,1920V.opus,1920S.opus,0
1921,合計,ごうけい,"sum, total",verbal noun,Please calculate the total amount of money.,<b> 合計[ごうけい]</b> 金額[きんがく]を 計算[けいさん]してください。,1921V.opus,1921S.opus,0
1922,傷,きず,"wound, scar",noun,The wound in my foot hurts.,足[あし]の<b> 傷[きず]</b>が 痛[いた]みます。,1922V.opus,1922S.opus,0
1923,面倒,めんどう,"troublesome, difficult",adjectival noun,There was some trouble at the office.,会社[かいしゃ]で<b> 面倒[めんどう]</b>なことが 起[お]こったの。,1923V.opus,1923S.opus,3
1924,具合,ぐあい,"condition, health",noun,I'm not feeling well today.,今日[きょう]は 体[からだ]の<b> 具合[ぐあい]</b>が 悪[わる]いです。,1924V.opus,1924S.opus,0
1925,中止,ちゅうし,"suspension, cancellation",verbal noun,The sports day has been canceled due to the rain.,雨[あめ]で 運動会[うんどうかい]が<b> 中止[ちゅうし]</b>になったの。,1925V.opus,1925S.opus,0
1926,手続き,てつづき,"procedure, proceeding",verbal noun,The immigration procedures are finished.,入国[にゅうこく]<b> 手続[てつづ]き</b>が 終[お]わりました。,1926V.opus,1926S.opus,2
1927,結果,けっか,"result, outcome",noun,I want to know the results of the game soon.,試合[しあい]の<b> 結果[けっか]</b>を 早[はや]く 知[し]りたい。,1927V.opus,1927S.opus,0
1928,建設,けんせつ,"construction (of a building, road, bridge, etc.)",verbal noun,Construction began on the new building.,新[あたら]しいビルの<b> 建設[けんせつ]</b>が 始[はじ]まった。,1928V.opus,1928S.opus,0
1929,販売,はんばい,"sale, selling",verbal noun,Advance tickets are sold at the ticket window.,前売[まえうり] 券[けん]は 窓口[まどぐち]で<b> 販売[はんばい]</b>しています。,1929V.opus,1929S.opus,0
1930,機能,きのう,"function, feature",verbal noun,This software has a variety of features.,このソフトにはいろいろな<b> 機能[きのう]</b>があります。,1930V.opus,1930S.opus,1
1931,頃,ころ,"around (approximate time, e.g., ""around noon"")",noun,I often played in that park when I was a kid.,子供[こども]の<b> 頃[ころ]</b>、よくその 公園[こうえん]で 遊[あそ]んだ。,1931V.opus,1931S.opus,1
1932,日中,にっちゅう,during the day,noun,I swam in the sea all day long.,<b> 日中[にっちゅう]</b>はずっと 海[うみ]で 泳[およ]いでいました。,1932V.opus,1932S.opus,0
1933,今後,こんご,"in the future, from now on",noun,I look forward to working with you in the future.,<b> 今後[こんご]</b>ともよろしくお 願[ねが]いします。,1933V.opus,1933S.opus,0
1934,影響,えいきょう,"influence, effect",verbal noun,I was deeply influenced by him.,私[わたし]は 彼[かれ]から 大[おお]きな<b> 影響[えいきょう]</b>を 受[う]けました。,1934V.opus,1934S.opus,0
1935,分野,ぶんや,"field, area",noun,Music is his field of specialty.,音楽[おんがく]は 彼[かれ]の 得意[とくい]な<b> 分野[ぶんや]</b>です。,1935V.opus,1935S.opus,1
1936,関する,かんする,"relate to, regarding",verb,I read an article regarding that problem.,その 問題[もんだい]に<b> 関[かん]する</b> 記事[きじ]を 読[よ]みました。,1936V.opus,1936S.opus,3
1937,状態,じょうたい,"state, condition",noun,The road here is in a very bad condition.,ここは 道[みち]の<b> 状態[じょうたい]</b>がとても 悪[わる]いです。,1937V.opus,1937S.opus,0
1938,価格,かかく,"price, value",noun,The price of gasoline keeps going up fast.,ガソリンの<b> 価格[かかく]</b>がどんどん 上[あ]がっている。,1938V.opus,1938S.opus,0
1939,姿,すがた,"figure, appearance",noun,I saw her figure from a distance.,遠[とお]くに 彼女[かのじょ]の<b> 姿[すがた]</b>が 見[み]えた。,1939V.opus,1939S.opus,1
1940,期待,きたい,"expectation, anticipation",verbal noun,Everyone has high expectations of us.,みんな 私[わたし]たちに<b> 期待[きたい]</b>しています。,1940V.opus,1940S.opus,0
1941,除く,のぞく,"remove, exclude",verb,Everyone except for the director worked on Saturday.,部長[ぶちょう]を<b> 除[のぞ]く</b> 全員[ぜんいん]が 土曜日[どようび]も 働[はたら]いた。,1941V.opus,1941S.opus,0
1942,一般,いっぱん,"general, common",noun,General seating is over here.,<b> 一般[いっぱん]</b>の 方[かた]はこちらの 席[せき]へどうぞ。,1942V.opus,1942S.opus,0
1943,表現,ひょうげん,"Expression (broader: any form of expression, verbal or otherwise)",verbal noun,He expressed his feelings in a song.,彼[かれ]は 歌[うた]で 自分[じぶん]の 気持[きも]ちを<b> 表現[ひょうげん]</b>した。,1943V.opus,1943S.opus,3
1944,完成,かんせい,completion (in the sense of “perfecting” something; a finished product),verbal noun,Our new home page is now complete.,新[あたら]しいホームページが<b> 完成[かんせい]</b>した。,1944V.opus,1944S.opus,0
1945,変化,へんか,"change, alteration",verbal noun,There was a lot of change this year.,今年[ことし]は<b> 変化[へんか]</b>の 多[おお]い 年[とし]でした。,1945V.opus,1945S.opus,1
1946,参加,さんか,participation. General word for taking part in an event or group activity.,verbal noun,I'll participate in the citizen marathon tomorrow.,明日[あす]は 市民[しみん]マラソンに<b> 参加[さんか]</b>します。,1946V.opus,1946S.opus,0
1947,土地,とち,land,noun,This is my father's land.,ここは 父[ちち]の<b> 土地[とち]</b>です。,1947V.opus,1947S.opus,0
1948,検討,けんとう,examination and consideration,verbal noun,Please examine and consider this problem by the end of the day.,今日[きょう] 中[じゅう]にこの 問題[もんだい]を<b> 検討[けんとう]</b>してください。,1948V.opus,1948S.opus,0
1949,開始,かいし,beginning,verbal noun,The sports festival begins at nine o'clock.,運動会[うんどうかい]は９ 時[じ]<b> 開始[かいし]</b>です。,1949V.opus,1949S.opus,0
1950,備える,そなえる,"provide for, prepare for",verb,I bought a large quantity of water to prepare for disasters.,災害[さいがい]に<b> 備[そな]えて</b> 大量[たいりょう]の 水[みず]を 買[か]い 込[こ]んだ。,1950V.opus,1950S.opus,3
1951,内容,ないよう,content,noun,Please explain the content of this book.,この 本[ほん]の<b> 内容[ないよう]</b>を 説明[せつめい]してください。,1951V.opus,1951S.opus,0
1952,与える,あたえる,"to grant, to bestow (formal). Formal or abstract — giving something with authority or impact (e.g., awards).",verb,The news gave him a great shock.,そのニュースは 彼[かれ]に 大[おお]きなショックを<b> 与[あた]えた</b>。,1952V.opus,1952S.opus,0
1953,広がる,ひろがる,"spread out, extend",verb,My world expanded after studying abroad.,留学[りゅうがく]してから 私[わたし]の 世界[せかい]が<b> 広[ひろ]がった</b>。,1953V.opus,1953S.opus,0
1954,事実,じじつ,"fact, truth",noun,Is it all true?,それは 全[すべ]て<b> 事実[じじつ]</b>ですか。,1954V.opus,1954S.opus,1
1955,決定,けってい,Decision (official or general choice),verbal noun,An important decision was made at the meeting.,会議[かいぎ]で 重要[じゅうよう]な<b> 決定[けってい]</b>がありました。,1955V.opus,1955S.opus,0
1956,住宅,じゅうたく,"housing, residence",noun,This is a quiet residential area.,ここは 静[しず]かな<b> 住宅[じゅうたく]</b> 地[ち]だ。,1956V.opus,1956S.opus,0
1957,代表,だいひょう,representative,verbal noun,He's the class representative.,彼[かれ]がクラスの<b> 代表[だいひょう]</b>だ。,1957V.opus,1957S.opus,0
1958,命令,めいれい,"order, command",verbal noun,She did not obey the orders.,彼女[かのじょ]は<b> 命令[めいれい]</b>に 従[したが]わなかった。,1958V.opus,1958S.opus,0
1959,立場,たちば,"standpoint, position",noun,She doesn't understand her position.,彼女[かのじょ]は 自分[じぶん]の<b> 立場[たちば]</b>を 分[わ]かっていない。,1959V.opus,1959S.opus,3
1960,なお,なお,"still, in addition",adverb,"Moreover, it will be canceled in the event of rain.",<b>なお</b>、 雨[あめ]の 場合[ばあい]は 中止[ちゅうし]です。,1960V.opus,1960S.opus,1
1961,計算,けいさん,calculation,verbal noun,That calculation is wrong.,その<b> 計算[けいさん]</b>は 間違[まちが]っている。,1961V.opus,1961S.opus,0
1962,可能,かのう,"possible, potential",adjectival noun,Do you think it's possible to go on a twenty kilogram diet?,２０キロのダイエットは<b> 可能[かのう]</b>だと 思[おも]いますか。,1962V.opus,1962S.opus,0
1963,報告,ほうこく,report (kanji),verbal noun,There's a report about yesterday's meeting.,昨日[きのう]の 会議[かいぎ]について<b> 報告[ほうこく]</b>があります。,1963V.opus,1963S.opus,0
1964,都市,とし,"city, town",noun,Tokyo is the largest city in Japan.,東京[とうきょう]は 日本一[にほんいち] 大[おお]きな<b> 都市[とし]</b>です。,1964V.opus,1964S.opus,1
1965,政治,せいじ,politics,noun,I'm interested in politics.,私[わたし]は<b> 政治[せいじ]</b>に 関心[かんしん]がある。,1965V.opus,1965S.opus,0
1966,競争,きょうそう,competition,verbal noun,The two companies are competing with each other.,２ 社[しゃ]は 互[たが]いに<b> 競争[きょうそう]</b>している。,1966V.opus,1966S.opus,0
1967,原因,げんいん,"cause, origin",noun,What's the cause of this accident?,この 事故[じこ]の<b> 原因[げんいん]</b>は 何[なん]ですか。,1967V.opus,1967S.opus,0
1968,活動,かつどう,activity,verbal noun,He took part in local activities.,彼[かれ]は 地域[ちいき]の<b> 活動[かつどう]</b>に 参加[さんか]した。,1968V.opus,1968S.opus,0
1969,歴史,れきし,history,noun,I'm interested in history.,私[わたし]は<b> 歴史[れきし]</b>に 興味[きょうみ]があります。,1969V.opus,1969S.opus,0
1970,表,ひょう,"table, list",noun,Please look at this chart.,この<b> 表[ひょう]</b>を 見[み]てください。,1970V.opus,1970S.opus,0
1971,サイト,さいと,website,noun,I signed up for a new game site.,新[あたら]しいゲーム<b>サイト</b>に 登録[とうろく]した。,1971V.opus,1971S.opus,1
